검색어,기업명,기업형태,지역,업종,자본금,매출액,대표자,설립일
라미솔루션,라미솔루션,중소기업,서울 강남구,데이터베이스 및 온라인정보 제공업,"5,000만원(2023.12.31)",24억 5천만원(2023.12.31),박성빈,2022.01.05(4년차)
한국품질경영연구원,-,-,-,-,-,-,-,-
윈플라텍,-,-,-,-,-,-,-,-
문배나눔선교재단,문배나눔선교재단,비영리단체·교육재단,경기 성남시,부동산·중개·임대,-,-,김민배,2015.11.09(11년차)
포미비앤엠,포미비앤엠,중소기업,서울 성동구,광고·홍보·전시,"5,000만원",17억원,정해춘,2012.04.03(14년차)
서울석유(주)장충주유소,-,-,-,-,-,-,-,-
"광주,전남레미콘",-,-,-,-,-,-,-,-
세무법인경원,세무법인 경원,중소기업,서울 마포구,세무사업,"2억 1,000만원(2023.12.31)",57억 5천만원(2023.12.31),이영원/임홍준/황인지,2015.09.02(11년차)
세무법인경원,세무법인 경원 대전지점,-,-,-,-,-,임홍준,-
세무법인경원,세무법인 경원,-,-,-,-,-,육천섭,-
코리아세븐인천남구청점,-,-,-,-,-,-,-,-
호국산업,-,-,-,-,-,-,-,-
현대자동차(주)상용시트,-,-,-,-,-,-,-,-
전엔지니어링,전엔지니어링,중소기업,경기 광명시,건물 및 토목 엔지니어링 서비스업,2억원(2022.12.31),51억 5천만원(2022.12.31),한민섭,2001.02.10(25년차)
동우플라스틱,동우플라스틱,-,-,-,-,-,이주영,-
한진종합가스,한진종합가스,중소기업,경기 용인시,가정용 가스연료 소매업,"5억 5,000만원(2024.12.31)",47억 9천만원(2024.12.31),조윤석/홍승표/조윤수,2011.02.01(15년차)
테라시스,테라시스,중소기업,경기 의왕시,전기·전자·제어,2억원,58억,최치영,2012.07.25(14년차)
테라시스,테라시스,중소기업,서울 영등포구,"컴퓨터 및 주변장치, 소프트웨어 도매업","4,000만원(2024.12.31)",231억 5천만원(2024.12.31),김경민,2010.05.13(16년차)
